Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/Plans and Products/Cigna,Firefox 59.0,,2018-04-18 11:06:12,2018-04-18 11:06:23,10.938s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:06:13,2018-04-18 11:06:15,2.638s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:06:15,2018-04-18 11:06:16,0.989s,PASSED
click,Firefox 59.0,,2018-04-18 11:06:16,2018-04-18 11:06:17,0.847s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:17,2018-04-18 11:06:19,2.350s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:19,2018-04-18 11:06:20,0.559s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:20,2018-04-18 11:06:20,0.545s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:20,2018-04-18 11:06:21,0.600s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:21,2018-04-18 11:06:22,0.776s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:22,2018-04-18 11:06:23,0.709s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:23,2018-04-18 11:06:23,0.620s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:06:23,2018-04-18 11:06:23,0.214s,PASSED
,,,,,,
Test Cases/Plans and Products/Commercial Travelers,Firefox 59.0,,2018-04-18 11:06:23,2018-04-18 11:06:32,8.278s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:06:23,2018-04-18 11:06:26,2.600s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:06:26,2018-04-18 11:06:27,0.942s,PASSED
click,Firefox 59.0,,2018-04-18 11:06:27,2018-04-18 11:06:28,0.774s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:28,2018-04-18 11:06:30,2.352s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:30,2018-04-18 11:06:31,0.407s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:31,2018-04-18 11:06:31,0.420s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:31,2018-04-18 11:06:31,0.449s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:06:31,2018-04-18 11:06:32,0.217s,PASSED
,,,,,,
Test Cases/Plans and Products/Complete Senior Care,Firefox 59.0,,2018-04-18 11:06:32,2018-04-18 11:06:39,6.952s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:06:32,2018-04-18 11:06:34,2.646s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:06:34,2018-04-18 11:06:35,0.950s,PASSED
click,Firefox 59.0,,2018-04-18 11:06:35,2018-04-18 11:06:36,0.700s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:36,2018-04-18 11:06:38,1.924s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:38,2018-04-18 11:06:38,0.437s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:06:38,2018-04-18 11:06:39,0.201s,PASSED
,,,,,,
Test Cases/Plans and Products/Consolidated health,Firefox 59.0,,2018-04-18 11:06:39,2018-04-18 11:06:47,8.730s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:06:39,2018-04-18 11:06:41,2.647s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:06:41,2018-04-18 11:06:42,0.947s,PASSED
click,Firefox 59.0,,2018-04-18 11:06:42,2018-04-18 11:06:43,0.789s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:43,2018-04-18 11:06:45,2.357s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:45,2018-04-18 11:06:46,0.514s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:46,2018-04-18 11:06:46,0.526s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:46,2018-04-18 11:06:47,0.675s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:06:47,2018-04-18 11:06:47,0.189s,PASSED
,,,,,,
Test Cases/Plans and Products/CrystalRun,Firefox 59.0,,2018-04-18 11:06:47,2018-04-18 11:06:56,9.071s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:06:47,2018-04-18 11:06:50,2.627s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:06:50,2018-04-18 11:06:51,0.972s,PASSED
click,Firefox 59.0,,2018-04-18 11:06:51,2018-04-18 11:06:52,0.757s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:52,2018-04-18 11:06:54,2.602s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:54,2018-04-18 11:06:55,0.472s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:55,2018-04-18 11:06:56,0.711s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:56,2018-04-18 11:06:56,0.649s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:06:56,2018-04-18 11:06:56,0.189s,PASSED
,,,,,,
